SizeID,ShapeID,DimDepth,DimDepthImperial,DimWidth,DimWidthImperial,DimWeight,DimWeightImperial,DimWeightMetric,DimThickness,DimThicknessImperial,DimGage,DimGageImperial,DimDiameter,DimDiameterImperial,DimComment,SizeUnits,BaseWeight,UnitWeight,XSectionalArea,Depth,FlangeWidth,FlangeThickness,WebThickness,KDistance,AdjustedK,UsualGage,SecondaryGage,AxisXXS,InsideDiameter,OutsideDiameter,WallThickness,CalcRevaluation,RevaluationLength1,RevaluationLength2,RevaluationLength3,RevaluationPrice1,RevaluationPrice2,RevaluationPrice3,ChargeLength,CalcScrap,ScrapWidth,ScrapLength,ScrapPrice,Kerf,KerfRipCut,KerfCrossCut,KerfInternalCut,TrimLeadingWidth,TrimLeadingLength,TrimTrailingWidth,TrimTrailingLength,ClampAllowanceFromPart,ValidCombiningScrapPercentage,FirstCutCost,FirstCutCharge,AdditionalCutCost,AdditionalCutCharge,DimensionSizesImperial,DimensionSizesImperial_Reverse,DimensionSizesImperial_EDI,Dim1Imperial,Dim1SortValue,Dim2Imperial,Dim2SortValue,Dim3Imperial,Dim3SortValue,Dim4Imperial,Dim4SortValue,Dim5Imperial,Dim5SortValue,Dim6Imperial,Dim6SortValue,SortOrder,SortOrder_Reverse,ProNestDesignation,SigmaNestDesignation,ERPDesignation
21,9,1016.00203200406,1016.00203200406,,,392874.4953518,392874.4953518,393000.0,,,,,,,,Imperial,0.0,392874.4953517996,49935.58374213523,1016.002032004064,302.260604521209,43.94208788417577,24.384048768097536,73.91414782829565,73.91414782829565,,,15911934.615416758,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 264,264 x 40,40X264,40,1016.002,264,392874.5,,,,,,,,,304128.0,374224.0,,,D
22,9,1016.00203200406,1016.00203200406,,,349717.827301791,349717.827301791,350000.0,,,,,,,,Imperial,0.0,349717.8273017913,44580.734322758966,1008.3820167640336,302.260604521209,40.13208026416053,21.082042164084328,70.10414020828041,70.10414020828041,,,14338767.032430137,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 235,235 x 40,40X235,40,1016.002,235,349717.83,,,,,,,,,301056.0,371792.0,,,D
23,9,1016.00203200406,1016.00203200406,,,314001.964087991,314001.964087991,314000.0,,,,,,,,Imperial,0.0,314001.96408799133,40064.596258224774,1000.762001524003,299.7205994411989,36.06807213614427,19.0500381000762,66.04013208026416,66.04013208026416,,,12880309.585702956,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 211,211 x 40,40X211,40,1016.002,211,314001.96,,,,,,,,,297984.0,369616.0,,,D
24,9,1016.00203200406,1016.00203200406,,,272333.457005225,272333.457005225,272000.0,,,,,,,,Imperial,0.0,272333.4570052247,34387.165548524645,990.6019812039624,299.7205994411989,30.48006096012192,16.51003302006604,60.45212090424181,60.45212090424181,,,11061334.567874676,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 183,183 x 40,40X183,40,1016.002,183,272333.46,,,,,,,,,294912.0,367184.0,,,D
25,9,1016.00203200406,1016.00203200406,,,248522.881529358,248522.881529358,249000.0,,,,,,,,Imperial,0.0,248522.88152935807,31806.51522593368,980.4419608839216,299.7205994411989,26.162052324104646,16.51003302006604,56.134112268224534,56.134112268224534,,,9832297.393666381,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 167,167 x 40,40X167,40,1016.002,167,248522.88,,,,,,,,,293888.0,365776.0,,,D
26,9,1016.00203200406,1016.00203200406,,,221735.984119008,221735.984119008,222000.0,,,,,,,,Imperial,0.0,221735.9841190081,28258.121032371095,970.2819405638813,299.7205994411989,21.082042164084328,16.00203200406401,51.05410210820422,51.05410210820422,,,8406614.271584755,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 149,149 x 40,40X149,40,1016.002,149,221735.98,,,,,,,,,292864.0,364496.0,,,D
28,9,914.401828803658,914.401828803658,,,967304.6287070819,967304.6287070819,967000.0,,,,,,,,Imperial,,967304.6287070819,123226.052903719,1028.70205740411,447.040894081788,89.9161798323597,50.0381000762002,114.046228092456,114.046228092456,,,39656932.821121104,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 650,650 x 36,36X650,36,914.40183,650,967304.63,,,,,,,,,286720.0,386128.0,,,D
29,9,914.401828803658,914.401828803658,,,784260.8297363581,784260.8297363581,784000.0,,,,,,,,Imperial,,784260.8297363581,100000.2000004,995.681991363983,436.88087376174707,73.9141478282957,40.8940817881636,98.0441960883922,98.0441960883922,,,31954966.5294157,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 527,527 x 36,36X527,36,914.40183,527,784260.83,,,,,,,,,283648.0,384720.0,,,D
30,9,914.401828803658,914.401828803658,,,653302.6646190911,653302.6646190911,653000.0,,,,,,,,Imperial,,653302.6646190911,83225.9729035587,972.821945643891,431.80086360172703,61.9761239522479,34.5440690881382,86.1061722123444,86.1061722123444,,,26547202.9628992,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 439,439 x 36,36X439,36,914.40183,439,653302.66,,,,,,,,,279552.0,382672.0,,,D
31,9,914.401828803658,914.401828803658,,,584847.260125974,584847.260125974,585000.0,,,,,,,,Imperial,,584847.260125974,74838.8593551381,960.12192024384,426.72085344170705,55.88011176022351,30.988061976124,80.01016002032,80.01016002032,,,23761385.3680271,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 393,393 x 36,36X393,36,914.40183,393,584847.26,,,,,,,,,277504.0,381136.0,,,D
32,9,914.401828803658,914.401828803658,,,534249.787239758,534249.787239758,534000.0,,,,,,,,Imperial,,534249.787239758,67742.0709680129,949.9618999238,424.180848361697,51.0541021082042,28.4480568961138,75.1841503683007,75.1841503683007,,,21631054.266066,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 359,359 x 36,36X359,36,914.40183,359,534249.79,,,,,,,,,275456.0,379728.0,,,D
33,9,914.401828803658,914.401828803658,,,488116.797255266,488116.797255266,488000.0,,,,,,,,Imperial,,488116.797255266,62193.672774442304,942.341884683769,421.640843281687,46.990093980188,25.9080518161036,71.1201422402845,71.1201422402845,,,19828466.4105605,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 328,328 x 36,36X328,36,914.40183,328,488116.8,,,,,,,,,273408.0,378192.0,,,D
