GradeID,ShapeID,Grade,DefaultGrade,WeightMultiplier,ProNestDesignation
823,78,ASSY KOMBI FH SCREW,0,1.0,
824,78,ASSY KOMBI SCREW,0,1.0,
827,151,A193-B7,0,1.0,
828,41,1018 (CR),0,1.0,
829,185,Steel_Undefined,0,1.0,
830,213,A36,1,1.0,
834,227,2,1,1.0,
837,187,WH_HD_SCREW_ANC,0,1.0,
838,239,SS 316,0,1.0,
841,8,A490-DTI,0,1.0,
842,8,BEVEL,0,1.0,
843,187,BLIND BOLT,0,1.0,
849,78,FHMS_316_SS,0,1.0,
850,78,FHMS 304 SS,0,1.0,
851,78,FHMS 316 SS,0,1.0,
852,78,FHB 304 SS,0,1.0,
854,151,A307,0,1.0,
855,151,F1554-55-S1,0,1.0,
858,223,ZINC,1,1.0,
859,190,A252-GR.3,0,1.0,
861,220,SS316_FL_HD,0,1.0,
862,220,SS316,0,1.0,
867,151,6061-T6,0,1.0,
869,223,GALV,0,1.0,
874,8,SS_304_BEVEL,0,1.0,
875,220,TITEN HD,0,1.0,
876,78,WD SCREW,0,1.0,
878,78,TAPCON,0,1.0,
882,78,KWIK HUS,0,1.0,
883,190,A53-GR.B,0,1.0,
884,78,HILTI KB-3 STUD ANCHOR,0,1.0,
885,199,SS 304,0,1.0,
888,190,A500-C,0,1.0,
889,185,A500-C,0,1.0,
890,69,SS304 USA,0,1.0,
891,8,SS 304 USA,0,1.0,
892,8,SS 316 USA,0,1.0,
893,100,304 SS USA,0,1.0,
894,100,316 SS USA,0,1.0,
896,187,F2280N,0,1.0,
897,2,grade,0,1.0,
898,187,STUD,0,1.0,
899,194,A36,0,1.0,
900,187,ASSY KOMBI SCREW,0,1.0,
901,187,ASSY KOMBI FH SCREW,0,1.0,
902,187,RIVET_316_SS,0,1.0,
903,4,GRADE,0,1.0,
904,2,A-1011,0,1.0,
905,254,A563,0,1.0,
906,254,F436,0,1.0,
907,130,A36,0,1.0,
908,130,A307,0,1.0,
909,130,A108,0,1.0,
910,130,A325,0,1.0,
911,57,A57250,0,1.0,
912,226,F1554 GR 36,0,1.0,
913,226,F1554 GR105,0,1.0,
914,130,A563,0,1.0,
915,130,grade,0,1.0,
916,130,A572-50,0,1.0,
917,129,A572-50,0,1.0,
919,186,A53-B,0,1.0,
920,78,SHEARSTUD,0,1.0,
921,78,ASTM F1852SC,0,1.0,
922,9,A500-GR.B,0,1.0,
923,187,SS_EPOXY_ANC,0,1.0,
924,151,A572-GR.50,0,1.0,
927,57,A1011-CS-B,0,1.0,
928,78,HILTI KWIK HUS BOLT,0,1.0,
929,78,F1852,0,1.0,
930,78,F2280,0,1.0,
931,78,EXPANSION ANCHOR,0,1.0,
932,78,F1852SC,0,1.0,
933,41,A36,0,1.0,
934,190,6061,0,1.0,
935,187,F1852,0,1.0,
936,8,A572-50,0,1.0,
937,57,A1011,0,1.0,
938,187,A490SC-DTI,0,1.0,
939,257,A36,1,1.0,
940,257,6061-T6,0,1.0,
941,257,SS 304,0,1.0,
942,257,SS 316,0,1.0,
943,256,A36,1,1.0,
944,256,SS 304,0,1.0,
945,185,6061-T6 ALUMINUM,0,1.0,
946,187,HILTI KWIK HUS S,0,1.0,
947,69,A572-GR.50,0,1.0,
948,8,A572-GR.50,0,1.0,
949,190,A500B,0,1.0,
950,187,SS304 STAINLESS,0,1.0,
951,135,MASTICORD PAD,0,1.0,
952,78,SS_WEDGE_ANC,0,1.0,
953,186,6061-T6 ALUMINUM,0,1.0,
954,194,A992,0,1.0,
955,163,A572-GR.50,0,1.0,
956,135,FLUOROGOLD,0,1.0,
957,100,ZINC USA,0,1.0,
958,100,GALV USA,0,1.0,
959,187,UNDEFINED_BOLT,0,1.0,
960,187,TCF_316_SS,0,1.0,
961,69,SS_316_HEX_JAM,0,1.0,
962,223,SS_FH_TEK_SCREW,0,1.0,
963,187,HILTI,0,1.0,
964,187,LAG SCREW,0,1.0,
965,187,HILTI KB-TZ2 ANC,0,1.0,
966,78,SS_316_SET_SCREW,0,1.0,
967,8,WEDGEW,0,1.0,
968,69,A563,0,1.0,
969,8,ADHESIVE,0,1.0,
970,69,EPOXY,0,1.0,
971,8,A36,0,1.0,
972,250,SS 304,0,1.0,
973,223,SS 410,0,1.0,
974,239,C1015,0,1.0,
975,44,A29 C1018,0,1.0,
976,8,A325,0,1.0,
977,57,SLIDE BEARING PAD,0,1.0,
978,57,THERMAL BREAK PAD,0,1.0,
979,9,A992-CVN,0,1.0,
980,187,TCF_304_SS,0,1.0,
981,57,A572-65,0,1.0,
982,9,A913-65,0,1.0,
983,187,ASTM F1852SC,0,1.0,
984,78,ADHESIVE ANC,0,1.0,
985,78,S.S ADHESIVE ANC,0,1.0,
986,186,A53-GR.B,0,1.0,
987,78,S.S SCREW ANC,0,1.0,
988,135,A706,0,1.0,
989,135,A563,0,1.0,
990,163,A36,0,1.0,
991,186,A500-GR.C-46,0,1.0,
992,85,A992,0,1.0,
993,57,A992,0,1.0,
994,3,SS 304,0,1.0,
995,57,OWNER SUPPLIED,0,1.0,
996,69,Steel_Undefined,0,1.0,
997,127,Zero_Density,0,1.0,
998,135,GR-33,0,1.0,
999,135,MISC_UNDEFINED,0,1.0,
1000,135,.,0,1.0,
1001,69,F1554-GR.36,0,1.0,
1003,69,HEAVY_HEX_GALV,0,1.0,
1004,262,GR-33,1,1.0,
1005,33,A36/50,0,1.0,
1006,264,GR.33,1,1.0,
1007,57,A529-GR.50,0,1.0,
1008,44,A572-GR.50,0,1.0,
1009,57,C1035,0,1.0,
1010,264,GR.33 PREGALV,0,1.0,
1011,130,STEEL_UNDEFINED,0,1.0,
1012,78,ZINC,0,1.0,
1013,187,ROOF SCREW,0,1.0,
